eta,grid,time,nonlinear_iterations
0.5,64,2.138428376721001e-05,3
0.5,64,2.452271214393101e-05,3
0.5,64,2.797498335832411e-05,3
0.5,64,3.177248169415653e-05,3
0.5,64,3.594972986357219e-05,3
0.5,64,4.05447028499294e-05,3
0.5,64,4.559917313492235e-05,3
0.5,64,5.115909044841459e-05,3
0.5,64,5.727499949325605e-05,3
0.5,64,6.400249944258165e-05,3
0.5,64,7.140274938683982e-05,3
0.5,64,7.954302432552381e-05,3
0.5,64,8.849732675807619e-05,3
0.5,64,9.834705943388383e-05,3
0.5,64,0.0001091817653772722,3
0.5,64,0.0001210999419149994,3
0.5,64,0.0001342099361064994,3
0.5,64,0.0001486309297171494,3
0.5,64,0.0001644940226888643,3
0.5,64,0.0001819434249577508,3
0.5,64,0.0002011377674535259,3
0.5,64,0.0002222515441988785,3
0.5,64,0.0002454766986187664,3
0.5,64,0.000271024368480643,3
0.5,64,0.0002991268053287073,3
0.5,64,0.0003300394858615781,3
0.5,64,0.0003640434344477359,3
0.5,64,0.0004014477778925096,3
0.5,64,0.0004425925556817605,3
0.5,64,0.0004878518112499367,3
0.5,64,0.0005376369923749304,4
0.5,64,0.0005924006916124235,4
0.5,64,0.0006526407607736659,4
0.5,64,0.0007189048368510325,4
0.5,64,0.0007917953205361358,4
0.5,64,0.0008719748525897494,4
0.5,64,0.0009601723378487245,4
0.5,64,0.001057189571633597,4
0.5,64,0.001163908528796957,4
0.5,64,0.001281299381676653,4
0.5,64,0.001410429319844318,4
0.5,64,0.00155247225182875,4
0.5,64,0.001708719477011625,4
0.5,64,0.001880591424712788,4
0.5,64,0.002069650567184067,4
0.5,64,0.002277615623902474,4
0.5,64,0.002506377186292721,4
0.5,64,0.002758014904921994,5
0.5,64,0.003034816395414193,5
0.5,64,0.003339298034955613,5
0.5,64,0.003674227838451174,5
0.5,64,0.004042650622296292,5
0.5,64,0.004447915684525921,5
0.5,64,0.004893707252978514,5
0.5,64,0.005384077978276365,5
0.5,64,0.005923485776104002,5
0.5,64,0.006516834353714403,5
0.5,64,0.007169517789085845,6
0.5,64,0.00788746956799443,6
0.5,64,0.008677216524793875,6
0.5,64,0.009545938177273262,6
0.5,64,0.01050153199500059,6
0.5,64,0.01155268519450065,6
0.5,64,0.01270895371395072,7
0.5,64,0.01398084908534579,7
0.5,64,0.01537993399388037,7
0.5,64,0.01691892739326841,7
0.5,64,0.01861182013259525,7
0.5,64,0.02047400214585477,8
0.5,64,0.02252240236044025,8
0.5,64,0.02477564259648428,8
0.5,64,0.02725420685613271,9
0.5,64,0.02998062754174599,9
0.5,64,0.03297969029592059,9
0.5,64,0.03627865932551265,10
0.5,64,0.03990752525806392,10
0.5,64,0.04389927778387032,11
0.5,64,0.04829020556225735,12
0.5,64,0.0531202261184831,12
0.5,64,0.05843324873033141,13
0.5,64,0.06427757360336456,14
0.5,64,0.07070633096370102,15
0.5,64,0.07777796406007113,16
0.5,64,0.08555676046607825,17
0.5,64,0.09411343651268608,19
0.5,64,0.1025626161166854,19
0.5,64,0.1099898676858323,19
0.5,64,0.1166879184019177,21
0.5,64,0.1230792534531042,27
0.5,64,0.1295009197343527,33
0.5,64,0.1354816793007816,32
0.5,64,0.1407416194754401,34
0.5,64,0.1455235644881612,25
0.5,64,0.1501628744708108,19
0.5,64,0.1548977885432509,18
0.5,64,0.1596440157463452,18
0.5,64,0.1639876970053638,18
0.5,64,0.1681211847826617,19
0.5,64,0.1722439986111622,19
0.5,64,0.1762490779421478,18
0.5,64,0.1802608765358691,18
0.5,64,0.1842487532009632,18
0.5,64,0.1881067719882373,18
0.5,64,0.19199965387198,19
0.5,64,0.1959893977677576,19
0.5,64,0.1997583447159589,19
0.5,64,0.2034124042077253,19
0.5,64,0.2071443614457909,19
0.5,64,0.2109060415502482,20
0.5,64,0.2148548031685096,20
0.5,64,0.2189279574416233,20
0.5,64,0.2226563225826022,20
0.5,64,0.2261847983721514,19
0.5,64,0.2297339440129328,19
0.5,64,0.2335345296677681,20
0.5,64,0.2374499245740918,20
0.5,64,0.2414602562753927,20
0.5,64,0.2451611252550717,20
0.5,64,0.2486693638436347,20
0.5,64,0.2522049443164826,20
0.5,64,0.2559965180141271,20
0.5,64,0.2597695621906721,20
0.5,64,0.2634973048900352,20
0.5,64,0.2671402503188313,20
0.5,64,0.2706692807096721,20
0.5,64,0.274258206971815,20
0.5,64,0.278129162755052,20
0.5,64,0.2820003087609308,20
0.5,64,0.2856706462353032,20
0.5,64,0.2892899958054075,20
0.5,64,0.2928785343766118,20
0.5,64,0.2965858393134476,20
0.5,64,0.3004657102069716,20
0.5,64,0.3043766050661117,20
0.5,64,0.3080923106551806,20
0.5,64,0.3116882611804751,20
0.5,64,0.3153633999322443,20
0.5,64,0.3192479066688004,20
0.5,64,0.3231606291829039,20
0.5,64,0.3271109637214977,20
0.5,64,0.3308989675396367,20
0.5,64,0.3345557587208096,19
0.5,64,0.338289656480103,20
0.5,64,0.3421730999463188,20
0.5,64,0.3461395602297773,20
0.5,64,0.3499781974631108,20
0.5,64,0.3537925631067899,19
0.5,64,0.3575291773017018,19
0.5,64,0.3613746448499044,20
0.5,64,0.3653982942602109,20
0.5,64,0.3695881291409612,20
0.5,64,0.3735158346009763,20
0.5,64,0.3773378242787772,19
0.5,64,0.3811822927474148,19
0.5,64,0.3852283961909018,20
0.5,64,0.3893628573670229,20
0.5,64,0.3936153595763488,20
0.5,64,0.3976203722610827,19
0.5,64,0.4015024542760769,19
0.5,64,0.4055176153018167,19
0.5,64,0.4098911447141673,20
0.5,64,0.4140985005851837,20
0.5,64,0.4181964651184243,19
0.5,64,0.4222062034485166,19
0.5,64,0.4261799907432323,19
0.5,64,0.4303528993165011,19
0.5,64,0.4346144598101586,20
0.5,64,0.4387637619468225,19
0.5,64,0.4428242715365514,19
0.5,64,0.4468926013049397,19
0.5,64,0.4510096731667807,19
0.5,64,0.4552231624047358,19
0.5,64,0.45939019189042,19
0.5,64,0.4636902313339319,19
0.5,64,0.4678526098106486,19
0.5,64,0.4719996638407631,19
0.5,64,0.4762007573875054,19
0.5,64,0.4804213996305483,19
0.5,64,0.4847406537342883,19
0.5,64,0.4891077135918779,19
0.5,64,0.4933692662211523,19
0.5,64,0.4976096545418144,19
0.5,64,0.5,16
0.5,128,1e-06,3
0.5,128,2.1e-06,3
0.5,128,3.31e-06,3
0.5,128,4.641000000000001e-06,3
0.5,128,6.105100000000001e-06,3
0.5,128,7.715610000000002e-06,3
0.5,128,9.487171000000002e-06,3
0.5,128,1.14358881e-05,3
0.5,128,1.357947691e-05,3
0.5,128,1.5937424601e-05,3
0.5,128,1.853116706110001e-05,3
0.5,128,2.138428376721001e-05,3
0.5,128,2.452271214393101e-05,3
