variant,eta_target,grid,trial,accepted_step_candidate,t_start,dt_try,t_trial,eta_measured,linear_iters,nonlinear_iters,final_residual_norm,solver_converged,violates_guard,accepted
aligned_guard_1p1,0.5,64,145,143,0.28187986854990127,0.0036884549798443743,0.28556832352974565,0.5103351477624706,20,20,1.031571264081812e-06,True,False,True
aligned_guard_1p1,0.5,64,146,144,0.28556832352974565,0.003613757543465458,0.2891820810732111,0.5043144484578063,20,20,8.790117921304422e-07,True,False,True
aligned_guard_1p1,0.5,64,147,145,0.2891820810732111,0.003582841572868207,0.2927649226460793,0.48661220198205746,20,20,8.837731038217126e-07,True,False,True
aligned_guard_1p1,0.5,64,148,146,0.2927649226460793,0.0036814136167102472,0.29644633626278954,0.47414407488279964,20,20,1.127523183259848e-06,True,False,True
aligned_guard_1p1,0.5,64,149,147,0.29644633626278954,0.003882167690928364,0.3003285039537179,0.4967359131344608,20,20,1.6031151666707723e-06,True,False,True
aligned_guard_1p1,0.5,64,150,148,0.3003285039537179,0.003907677689772257,0.30423618164349014,0.5229050288144368,20,20,1.4738686575741552e-06,True,False,True
aligned_guard_1p1,0.5,64,151,149,0.30423618164349014,0.0037365080410796483,0.3079726896845698,0.5191894598545544,20,20,9.141998518589315e-07,True,False,True
aligned_guard_1p1,0.5,64,152,150,0.3079726896845698,0.0035984051391628716,0.3115710948237327,0.491614276977793,20,20,6.518818017706075e-07,True,False,True
aligned_guard_1p1,0.5,64,153,151,0.3115710948237327,0.00365978502626503,0.3152308798499977,0.4755698414221865,20,20,7.539373867423209e-07,True,False,True
aligned_guard_1p1,0.5,64,154,152,0.3152308798499977,0.003847789228308173,0.3190786690783059,0.4932429183839027,20,20,1.1223655333075346e-06,True,False,True
aligned_guard_1p1,0.5,64,155,153,0.3190786690783059,0.003900501238735826,0.3229791703170417,0.4959200871209809,20,20,1.1764060715531822e-06,True,False,True
aligned_guard_1p1,0.5,64,156,154,0.3229791703170417,0.003932590491927673,0.3269117608089694,0.5158897089497368,20,20,1.0789965468004488e-06,True,False,True
aligned_guard_1p1,0.5,64,157,155,0.3269117608089694,0.0038114643728150285,0.33072322518178443,0.5204783765731105,20,20,7.631602755291437e-07,True,False,True
aligned_guard_1p1,0.5,64,158,156,0.33072322518178443,0.0036615011731228383,0.3343847263549073,0.49353238354168505,19,19,1.716487173459454e-06,True,False,True
aligned_guard_1p1,0.5,64,159,157,0.3343847263549073,0.0037094842154502495,0.33809421057035755,0.47854435064053114,19,19,1.925751277475199e-06,True,False,True
aligned_guard_1p1,0.5,64,160,158,0.33809421057035755,0.0038757998192697376,0.34197001038962727,0.4844553717093506,20,20,8.365946910913452e-07,True,False,True
aligned_guard_1p1,0.5,64,161,159,0.34197001038962727,0.004000161878270004,0.3459701722678973,0.5188861343407188,20,20,9.586281808326179e-07,True,False,True
aligned_guard_1p1,0.5,64,162,160,0.3459701722678973,0.0038545661692738135,0.3498247384371711,0.5013885044961013,20,20,6.896875636649842e-07,True,False,True
aligned_guard_1p1,0.5,64,163,161,0.3498247384371711,0.0038438916476033667,0.35366863008477445,0.5136080631658255,19,19,1.923702087480633e-06,True,False,True
aligned_guard_1p1,0.5,64,164,162,0.35366863008477445,0.0037420476071871097,0.35741067769196155,0.48948120582340476,19,19,1.5955287188260255e-06,True,False,True
aligned_guard_1p1,0.5,64,165,163,0.35741067769196155,0.0038224630104972475,0.3612331407024588,0.47751555299911885,19,19,1.8240843180394452e-06,True,False,True
aligned_guard_1p1,0.5,64,166,164,0.3612331407024588,0.004002448701921444,0.3652355894043803,0.47171738690590065,20,20,7.474511328193207e-07,True,False,True
aligned_guard_1p1,0.5,64,167,165,0.3652355894043803,0.004242422277642124,0.3694780116820224,0.5356136777885756,20,20,1.0177569897533479e-06,True,False,True
aligned_guard_1p1,0.5,64,168,166,0.3694780116820224,0.003960337883041093,0.3734383495650635,0.5177872972948351,19,19,1.9735288785902013e-06,True,False,True
